Vth_T ,6bit_Vth,#1
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,1
74,0,0
75,0,1
76,0,0
77,0,0
78,0,1
79,0,1
80,0,0
81,0,2
82,0,0
83,0,4
84,0,2
85,0,1
86,0,2
87,0,1
88,0,4
89,0,1
90,0,4
91,0,2
92,0,1
93,0,1
94,0,6
95,0,7
96,0,1
97,0,5
98,0,1
99,0,4
100,0,7
101,0,5
102,0,4
103,0,5
104,0,5
105,0,9
106,0,6
107,0,10
108,0,6
109,0,13
110,0,6
111,0,12
112,0,11
113,0,4
114,0,16
115,0,7
116,0,13
117,0,14
118,0,19
119,0,17
120,0,16
121,0,20
122,0,22
123,0,16
124,0,22
125,0,20
126,0,25
127,0,26
128,0,19
129,0,20
130,0,40
131,0,38
132,0,27
133,0,32
134,0,36
135,0,39
136,0,28
137,0,54
138,0,44
139,0,59
140,0,66
141,0,63
142,0,96
143,0,93
144,0,138
145,0,150
146,0,169
147,0,206
148,0,248
149,0,267
150,0,325
151,0,379
152,0,467
153,0,481
154,0,532
155,0,577
156,0,649
157,0,709
158,0,803
159,0,827
160,0,984
161,0,1039
162,0,1162
163,0,1197
164,0,1303
165,0,1342
166,0,1448
167,0,1564
168,0,1524
169,0,1630
170,0,1743
171,0,1804
172,0,1800
173,0,1828
174,0,1939
175,0,1959
176,0,1958
177,0,2029
178,0,1978
179,0,1973
180,0,1983
181,0,1999
182,0,1943
183,0,2017
184,0,1996
185,0,1985
186,0,1975
187,0,1973
188,0,1958
189,0,1955
190,0,1964
191,0,1906
192,0,1920
193,0,1948
194,0,2021
195,0,2011
196,0,2017
197,0,2091
198,0,2153
199,0,2141
200,0,2136
201,0,2252
202,0,2338
203,0,2363
204,0,2437
205,0,2577
206,0,2630
207,0,2791
208,0,2923
209,0,3111
210,0,3226
211,0,3583
212,0,3706
213,0,3951
214,0,4411
215,0,4609
216,0,5018
217,0,5468
218,0,6121
219,0,6159
220,0,6705
221,0,7311
222,0,8868
223,0,9496
224,0,11517
225,0,12462
226,0,14976
227,0,15765
228,0,18377
229,0,19859
230,0,24012
231,0,28820
232,0,32271
233,0,38415
234,0,44679
235,0,56264
236,0,63799
237,0,73823
238,0,89566
239,0,97792
240,0,110562
241,0,121766
242,0,133819
243,0,138474
244,0,146170
245,0,151406
246,0,157973
247,0,164011
248,0,164583
249,0,169888
250,0,173852
251,0,176190
252,0,176892
253,0,179582
254,0,182058
255,0,184457
256,0,185452
257,0,184793
258,0,186120
259,0,186785
260,0,185645
261,0,187970
262,0,186639
263,0,185836
264,0,185669
265,0,184375
266,0,183727
267,0,181764
268,0,180691
269,0,180018
270,0,178138
271,0,176145
272,0,174833
273,0,173004
274,0,171271
275,0,169101
276,0,167694
277,0,166129
278,0,164492
279,0,163145
280,0,162214
281,0,161127
282,0,160505
283,0,159753
284,0,159320
285,0,158557
286,0,158674
287,0,158619
288,0,158480
289,0,158720
290,0,158990
291,0,159371
292,0,159784
293,0,160179
294,0,160792
295,0,161513
296,0,161958
297,0,162650
298,0,163273
299,0,163828
300,0,163938
301,0,164165
302,0,164189
303,0,163568
304,0,163117
305,0,162374
306,0,161363
307,0,160246
308,0,159181
309,0,157903
310,0,156680
311,0,155395
312,0,154367
313,0,152593
314,0,151306
315,0,149892
316,0,148897
317,0,148162
318,0,147571
319,0,146088
320,0,145133
321,0,144275
322,0,143306
323,0,142506
324,0,141489
325,0,140613
326,0,139305
327,0,137813
328,0,136592
329,0,135467
330,0,133552
331,0,133223
332,0,131752
333,0,130559
334,0,129739
335,0,128358
336,0,127730
337,0,126460
338,0,125511
339,0,124155
340,0,122904
341,0,121774
342,0,119723
343,0,117930
344,0,115780
345,0,112836
346,0,108768
347,0,104152
348,0,99405
349,0,93025
350,0,84526
351,0,75970
352,0,60580
353,0,52324
354,0,43052
355,0,35422
356,0,29264
357,0,23555
358,0,18276
359,0,14210
360,0,11415
361,0,8492
362,0,6382
363,0,4537
364,0,3269
365,0,2352
366,0,1658
367,0,1167
368,0,778
369,0,463
370,0,297
371,0,175
372,0,114
373,0,84
374,0,45
375,0,21
376,0,20
377,0,9
378,0,5
379,0,3
380,0,2
381,0,2
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
514,0,0
515,0,0
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
