Vth_T ,6bit_Vth,VinDac,#1
109,0,0,0
110,0,0,1
111,0,0,1
112,0,0,1
113,0,0,0
114,0,0,2
115,0,0,1
116,0,0,0
117,0,0,2
118,0,0,0
119,0,0,1
120,0,0,2
121,0,0,1
122,0,0,3
123,0,0,1
124,0,0,2
125,0,0,0
126,0,0,2
127,0,0,3
128,0,0,0
129,0,0,5
130,0,0,3
131,0,0,2
132,0,0,6
133,0,0,2
134,0,0,3
135,0,0,4
136,0,0,2
137,0,0,4
138,0,0,4
139,0,0,2
140,0,0,5
141,0,0,3
142,0,0,3
143,0,0,7
144,0,0,8
145,0,0,7
146,0,0,9
147,0,0,6
148,0,0,4
149,0,0,3
150,0,0,13
151,0,0,10
152,0,0,6
153,0,0,7
154,0,0,10
155,0,0,8
156,0,0,6
157,0,0,8
158,0,0,14
159,0,0,14
160,0,0,8
161,0,0,20
162,0,0,26
163,0,0,37
164,0,0,42
165,0,0,39
166,0,0,49
167,0,0,44
168,0,0,58
169,0,0,84
170,0,0,90
171,0,0,97
172,0,0,98
173,0,0,110
174,0,0,106
175,0,0,115
176,0,0,116
177,0,0,115
178,0,0,120
179,0,0,120
180,0,0,119
181,0,0,120
182,0,0,119
183,0,0,120
184,0,0,120
185,0,0,120
186,0,0,119
187,0,0,120
188,0,0,119
189,0,0,119
190,0,0,119
191,0,0,120
192,0,0,120
193,0,0,120
194,0,0,120
195,0,0,120
196,0,0,120
197,0,0,120
198,0,0,120
199,0,0,120
200,0,0,120
201,0,0,120
202,0,0,120
203,0,0,120
204,0,0,120
205,0,0,119
206,0,0,120
207,0,0,120
208,0,0,120
209,0,0,119
210,0,0,119
211,0,0,120
212,0,0,120
213,0,0,119
214,0,0,120
215,0,0,120
216,0,0,119
217,0,0,120
218,0,0,119
219,0,0,120
220,0,0,119
221,0,0,120
222,0,0,120
223,0,0,120
224,0,0,120
225,0,0,119
226,0,0,120
227,0,0,119
228,0,0,120
229,0,0,120
230,0,0,119
231,0,0,120
232,0,0,119
233,0,0,120
234,0,0,120
235,0,0,119
236,0,0,119
237,0,0,120
238,0,0,120
239,0,0,120
240,0,0,120
241,0,0,120
242,0,0,120
243,0,0,120
244,0,0,119
245,0,0,120
246,0,0,120
247,0,0,119
248,0,0,120
249,0,0,120
250,0,0,120
251,0,0,120
252,0,0,120
253,0,0,120
254,0,0,120
255,0,0,120
256,0,0,120
257,0,0,120
258,0,0,120
259,0,0,120
260,0,0,119
261,0,0,120
262,0,0,119
263,0,0,120
264,0,0,119
265,0,0,120
266,0,0,120
267,0,0,120
268,0,0,120
269,0,0,120
270,0,0,120
271,0,0,120
272,0,0,119
273,0,0,120
274,0,0,119
275,0,0,119
276,0,0,119
277,0,0,120
278,0,0,120
279,0,0,120
280,0,0,120
281,0,0,120
282,0,0,120
