Vth_T ,6bit_Vth,VinDac,#1
74,0,0,0
75,0,0,2232
76,0,0,2701
77,0,0,11058
78,0,0,0
79,0,0,8436
80,0,0,6121
81,0,0,22
82,0,0,0
83,0,0,0
84,0,0,10991
85,0,0,2521
86,0,0,22
87,0,0,12
88,0,0,0
89,0,0,6221
90,0,0,23507
91,0,0,21407
92,0,0,14998
93,0,0,45
94,0,0,17313
95,0,0,38930
96,0,0,8854
97,0,0,17834
98,0,0,10048
99,0,0,11395
100,0,0,199
101,0,0,16642
102,0,0,14614
103,0,0,42625
104,0,0,10343
105,0,0,30743
106,0,0,15910
107,0,0,26066
108,0,0,11309
109,0,0,27777
110,0,0,29460
111,0,0,69103
112,0,0,39970
113,0,0,58328
114,0,0,51476
115,0,0,65992
116,0,0,82334
117,0,0,91939
118,0,0,144997
119,0,0,208945
120,0,0,322636
121,0,0,295786
122,0,0,348291
123,0,0,373977
124,0,0,452342
125,0,0,563566
126,0,0,603714
127,0,0,620132
128,0,0,710347
129,0,0,717196
130,0,0,745240
131,0,0,791014
132,0,0,787719
133,0,0,823006
134,0,0,835944
135,0,0,869451
136,0,0,845939
137,0,0,875802
138,0,0,893418
139,0,0,894797
140,0,0,890329
141,0,0,893161
142,0,0,910611
143,0,0,907127
144,0,0,921096
145,0,0,919953
146,0,0,931331
147,0,0,928993
148,0,0,923785
149,0,0,931157
150,0,0,927726
151,0,0,934380
152,0,0,938346
153,0,0,938139
154,0,0,933237
155,0,0,938544
156,0,0,940951
157,0,0,943842
158,0,0,941531
159,0,0,940572
160,0,0,945628
161,0,0,943620
162,0,0,944988
163,0,0,945108
164,0,0,946796
165,0,0,949038
166,0,0,947539
167,0,0,948076
168,0,0,948996
169,0,0,945789
170,0,0,948924
171,0,0,947275
172,0,0,949822
173,0,0,947846
174,0,0,948411
175,0,0,947381
176,0,0,946898
177,0,0,948270
178,0,0,949750
179,0,0,948502
180,0,0,948001
181,0,0,948665
182,0,0,947671
183,0,0,949819
184,0,0,946131
185,0,0,948085
186,0,0,949092
187,0,0,949475
188,0,0,945986
189,0,0,948412
190,0,0,947685
191,0,0,947851
192,0,0,948698
193,0,0,947650
194,0,0,947415
195,0,0,947267
196,0,0,947993
197,0,0,947823
198,0,0,947040
199,0,0,948202
200,0,0,946666
201,0,0,947764
202,0,0,948676
203,0,0,948400
204,0,0,948623
205,0,0,948141
206,0,0,948522
207,0,0,946914
208,0,0,948930
209,0,0,948587
210,0,0,948724
211,0,0,948250
212,0,0,948867
213,0,0,946632
214,0,0,947235
215,0,0,949380
216,0,0,947328
217,0,0,949051
218,0,0,946448
219,0,0,947594
220,0,0,948431
221,0,0,947582
222,0,0,949068
223,0,0,947493
224,0,0,948237
225,0,0,948322
226,0,0,947577
227,0,0,949253
228,0,0,948250
229,0,0,950319
230,0,0,948188
231,0,0,946723
232,0,0,947889
233,0,0,948428
234,0,0,945593
235,0,0,949825
236,0,0,946037
237,0,0,948892
238,0,0,946848
239,0,0,947464
240,0,0,947402
241,0,0,949841
242,0,0,946937
243,0,0,946259
244,0,0,948987
245,0,0,948548
246,0,0,947816
247,0,0,948795
248,0,0,947289
249,0,0,948318
250,0,0,948950
251,0,0,948658
252,0,0,948870
253,0,0,950787
254,0,0,948190
255,0,0,950150
256,0,0,948451
257,0,0,948619
258,0,0,947497
259,0,0,946936
260,0,0,947907
261,0,0,952310
262,0,0,948850
263,0,0,952701
264,0,0,949805
265,0,0,951968
266,0,0,949123
267,0,0,951910
268,0,0,953203
269,0,0,952003
270,0,0,952171
271,0,0,952481
272,0,0,950482
273,0,0,958537
274,0,0,958688
275,0,0,959592
276,0,0,958443
277,0,0,963960
278,0,0,962135
279,0,0,963355
280,0,0,965682
281,0,0,960950
282,0,0,970063
283,0,0,972186
284,0,0,971345
285,0,0,973364
286,0,0,972503
287,0,0,974734
288,0,0,975682
289,0,0,977911
290,0,0,977186
291,0,0,979671
292,0,0,978842
293,0,0,979279
294,0,0,982552
295,0,0,982979
296,0,0,983647
297,0,0,980600
298,0,0,983686
299,0,0,985448
300,0,0,984063
301,0,0,985413
302,0,0,984915
303,0,0,985794
304,0,0,986103
305,0,0,985708
306,0,0,986193
307,0,0,987376
308,0,0,987897
309,0,0,987275
310,0,0,986872
311,0,0,987114
312,0,0,988060
313,0,0,987105
314,0,0,987816
315,0,0,987873
316,0,0,988274
317,0,0,987385
318,0,0,988115
319,0,0,988376
320,0,0,988269
321,0,0,988320
322,0,0,988301
323,0,0,988184
324,0,0,987925
325,0,0,988747
326,0,0,988081
327,0,0,987595
328,0,0,988356
329,0,0,988624
330,0,0,988973
331,0,0,988427
332,0,0,988209
333,0,0,988099
334,0,0,988997
335,0,0,989805
336,0,0,989354
337,0,0,990805
