Vth_T ,6bit_Vth,#1
300,31,0
301,31,0
302,31,2
303,31,1
304,31,3
305,31,3
306,31,1
307,31,6
308,31,4
309,31,8
310,31,8
311,31,6
312,31,12
313,31,14
314,31,13
315,31,18
316,31,11
317,31,21
318,31,20
319,31,28
320,31,23
321,31,34
322,31,28
323,31,37
324,31,37
325,31,53
326,31,55
327,31,54
328,31,54
329,31,63
330,31,71
331,31,82
332,31,68
333,31,75
334,31,98
335,31,123
336,31,132
337,31,127
338,31,169
339,31,172
340,31,208
341,31,243
342,31,317
343,31,394
344,31,414
345,31,580
346,31,554
347,31,740
348,31,814
349,31,1213
350,31,1880
351,31,1930
352,31,2243
353,31,2224
354,31,2845
355,31,2381
356,31,3071
357,31,2781
358,31,3302
359,31,3406
360,31,3379
361,31,3822
362,31,4192
363,31,4087
364,31,4330
365,31,4443
366,31,4255
367,31,4445
368,31,4424
369,31,4622
370,31,4382
371,31,4936
372,31,4648
373,31,4498
374,31,4861
375,31,4661
376,31,4704
377,31,4894
378,31,4815
379,31,4884
380,31,5000
381,31,5150
382,31,4971
383,31,5066
384,31,4917
385,31,4985
386,31,5054
387,31,4903
388,31,5105
389,31,5353
390,31,5224
391,31,5323
392,31,5314
393,31,5552
394,31,5836
395,31,5907
396,31,5958
397,31,6057
398,31,6156
399,31,6135
400,31,6267
401,31,6262
402,31,6372
403,31,6317
404,31,6325
405,31,6488
406,31,6360
407,31,6409
408,31,6412
409,31,6593
410,31,6659
411,31,6923
412,31,6966
413,31,7131
414,31,7349
415,31,7534
416,31,7977
417,31,8174
418,31,8433
419,31,8698
420,31,8984
421,31,9118
422,31,9359
423,31,9483
424,31,9617
425,31,9716
426,31,9810
427,31,9867
428,31,9899
429,31,9935
430,31,9962
431,31,9978
432,31,9987
433,31,9986
434,31,9993
435,31,9998
436,31,9998
437,31,10000
438,31,9999
439,31,10000
440,31,10000
441,31,10000
442,31,10000
443,31,10000
444,31,10000
445,31,10000
446,31,10000
447,31,10000
448,31,10000
449,31,10000
450,31,10000
