Vth_T ,6bit_Vth,#1
300,31,0
301,31,0
302,31,2
303,31,1
304,31,3
305,31,3
306,31,1
307,31,6
308,31,4
309,31,8
310,31,7
311,31,5
312,31,11
313,31,12
314,31,11
315,31,14
316,31,10
317,31,19
318,31,16
319,31,22
320,31,18
321,31,27
322,31,24
323,31,32
324,31,32
325,31,42
326,31,47
327,31,42
328,31,41
329,31,48
330,31,51
331,31,60
332,31,54
333,31,51
334,31,68
335,31,70
336,31,78
337,31,76
338,31,85
339,31,97
340,31,95
341,31,99
342,31,114
343,31,130
344,31,124
345,31,169
346,31,163
347,31,186
348,31,197
349,31,264
350,31,335
351,31,346
352,31,395
353,31,414
354,31,504
355,31,437
356,31,526
357,31,493
358,31,608
359,31,606
360,31,608
361,31,649
362,31,710
363,31,689
364,31,694
365,31,708
366,31,663
367,31,719
368,31,667
369,31,656
370,31,631
371,31,639
372,31,627
373,31,582
374,31,604
375,31,634
376,31,599
377,31,618
378,31,641
379,31,649
380,31,671
381,31,683
382,31,703
383,31,752
384,31,778
385,31,812
386,31,882
387,31,943
388,31,975
389,31,1033
390,31,1074
391,31,1105
392,31,1139
393,31,1244
394,31,1304
395,31,1356
396,31,1417
397,31,1478
398,31,1505
399,31,1519
400,31,1595
401,31,1645
402,31,1624
403,31,1693
404,31,1709
405,31,1667
406,31,1700
407,31,1721
408,31,1643
409,31,1681
410,31,1653
411,31,1575
412,31,1570
413,31,1555
414,31,1495
415,31,1447
416,31,1246
417,31,1158
418,31,1028
419,31,885
420,31,708
421,31,653
422,31,489
423,31,409
424,31,316
425,31,230
426,31,162
427,31,120
428,31,89
429,31,58
430,31,37
431,31,21
432,31,12
433,31,14
434,31,7
435,31,2
436,31,2
437,31,0
438,31,1
439,31,0
440,31,0
441,31,0
442,31,0
443,31,0
444,31,0
445,31,0
446,31,0
447,31,0
448,31,0
449,31,0
450,31,0
