Vth_T ,6bit_Vth,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10
300,31,0,0,0,0,0,0,0,0,0,0
301,31,0,0,0,0,0,0,0,0,0,0
302,31,0,0,1,0,0,1,0,0,1,0
303,31,1,1,0,0,0,0,0,0,1,0
304,31,0,0,0,0,1,1,0,1,0,0
305,31,0,0,1,0,0,1,1,1,1,2
306,31,0,0,0,0,0,0,0,0,0,1
307,31,0,1,0,0,0,1,0,0,0,1
308,31,1,0,0,0,0,1,1,2,0,3
309,31,1,1,0,1,0,3,0,2,0,0
310,31,3,0,0,0,0,0,1,0,2,0
311,31,1,0,1,0,1,3,1,0,1,0
312,31,1,1,1,1,1,1,0,4,1,0
313,31,1,3,0,1,1,2,0,0,1,1
314,31,3,3,2,2,1,2,2,0,1,3
315,31,0,1,2,2,2,0,2,3,2,1
316,31,4,1,2,0,1,0,0,0,1,2
317,31,5,1,2,0,4,4,3,0,0,3
318,31,0,1,0,2,3,1,0,4,1,0
319,31,2,4,2,1,4,2,2,3,3,2
320,31,0,3,2,0,3,2,5,1,2,3
321,31,3,0,2,1,3,0,1,4,3,1
322,31,4,4,1,3,3,6,2,2,4,2
323,31,0,3,2,4,8,3,7,8,5,4
324,31,7,5,6,3,5,4,1,4,6,6
325,31,2,3,2,5,7,1,8,1,6,4
326,31,9,9,2,7,9,2,6,6,3,5
327,31,6,6,3,6,10,7,6,6,3,7
328,31,7,10,7,5,3,3,3,6,5,7
329,31,6,6,9,6,5,3,8,7,8,6
330,31,0,9,6,7,7,5,10,6,10,6
331,31,2,9,12,7,8,7,10,12,7,6
332,31,6,9,6,8,6,9,6,1,13,8
333,31,7,8,12,5,11,2,12,11,9,11
334,31,9,15,14,9,10,6,4,6,8,11
335,31,27,10,12,10,15,9,11,13,15,11
336,31,13,7,12,11,17,12,15,19,10,13
337,31,18,13,16,11,9,13,18,20,13,23
338,31,18,22,15,15,31,11,19,26,25,15
339,31,27,8,21,17,19,15,30,19,19,22
340,31,30,23,29,35,31,36,25,21,28,21
341,31,32,19,55,32,41,19,10,33,22,30
342,31,48,46,62,36,25,33,54,20,27,41
343,31,55,54,63,42,48,34,53,62,22,21
344,31,58,81,62,58,28,30,49,35,28,34
345,31,62,31,53,83,59,77,84,83,65,86
346,31,93,55,75,54,161,74,71,90,38,50
347,31,57,123,65,129,80,67,141,49,81,51
348,31,82,96,188,137,230,30,204,127,75,116
349,31,132,187,156,149,189,139,147,125,113,172
350,31,161,142,246,71,148,128,215,193,124,91
351,31,143,191,128,172,211,193,112,216,55,183
352,31,280,157,141,235,229,278,311,139,226,236
353,31,255,236,211,270,229,207,119,391,413,284
354,31,363,355,283,327,293,308,285,327,356,234
355,31,208,325,342,206,200,373,257,333,392,205
356,31,240,339,185,230,239,390,375,366,252,283
357,31,377,344,244,357,365,370,363,254,318,286
358,31,303,385,250,301,422,403,262,422,206,369
359,31,361,328,425,264,291,413,324,264,391,484
360,31,386,379,335,338,412,363,427,365,305,362
361,31,259,385,278,304,441,395,437,417,481,433
362,31,336,474,469,461,358,447,450,401,404,406
363,31,372,396,451,379,440,401,495,459,366,385
364,31,417,432,466,338,363,460,415,496,413,425
365,31,484,279,524,394,347,384,445,424,401,429
366,31,430,364,443,510,450,439,356,482,444,404
367,31,425,469,429,492,429,441,448,383,491,452
368,31,500,445,454,404,408,466,394,482,432,473
369,31,384,435,445,478,357,520,465,459,337,455
370,31,512,361,471,494,404,463,469,499,467,407
371,31,471,397,464,382,409,433,378,426,478,477
372,31,551,509,462,506,478,489,363,486,481,424
373,31,422,465,476,518,433,410,459,509,508,439
374,31,492,468,466,512,493,469,481,495,456,484
375,31,507,448,481,515,424,475,476,487,488,504
376,31,476,411,471,441,491,489,511,455,469,465
377,31,484,526,495,492,505,495,511,452,482,508
378,31,492,472,498,489,504,466,529,485,475,494
379,31,486,502,529,478,477,497,474,556,514,486
380,31,453,518,489,537,524,528,490,502,500,508
381,31,505,478,505,507,527,487,524,513,487,490
382,31,516,502,517,531,465,509,501,526,489,466
383,31,516,513,497,524,491,499,523,513,471,495
384,31,512,489,482,486,489,484,455,514,484,525
385,31,501,480,478,505,496,489,499,494,468,493
386,31,482,461,494,530,527,521,445,497,454,465
387,31,464,514,494,503,480,513,502,513,550,491
388,31,519,499,502,471,516,543,507,574,507,540
389,31,526,542,485,508,502,501,544,518,463,506
390,31,564,544,536,559,519,561,567,528,532,542
391,31,541,532,600,494,586,531,568,548,556,538
392,31,532,575,560,576,531,544,583,523,523,625
393,31,521,517,538,552,530,541,521,584,578,547
394,31,517,589,562,550,550,540,537,579,525,565
395,31,559,577,553,595,560,589,573,592,579,570
396,31,567,573,603,608,593,600,579,567,556,571
397,31,589,588,604,609,604,631,575,586,609,620
398,31,603,599,594,626,595,599,604,611,589,618
399,31,629,606,591,594,632,639,644,606,600,629
400,31,623,597,639,652,622,609,625,593,639,580
401,31,601,631,604,620,620,628,613,633,612,650
402,31,633,642,648,646,642,626,629,643,624,651
403,31,624,637,622,674,620,626,620,617,622,622
404,31,629,652,628,648,634,589,627,626,640,630
405,31,634,641,618,622,631,612,658,627,623,620
406,31,652,648,649,636,655,632,673,632,608,629
407,31,631,667,633,627,655,617,678,645,638,666
408,31,653,652,648,655,678,655,676,630,638,660
409,31,644,663,670,653,663,660,663,649,686,647
410,31,675,677,674,669,649,675,643,677,670,678
411,31,696,666,697,674,674,680,664,650,693,687
412,31,703,694,718,678,693,703,681,698,688,686
413,31,712,717,700,703,702,691,710,708,740,718
414,31,743,724,731,707,715,739,759,724,748,745
415,31,757,748,738,745,745,731,752,758,756,735
416,31,793,797,784,801,767,785,792,768,799,785
417,31,844,805,812,831,813,800,805,842,801,828
418,31,852,855,854,813,845,830,859,847,847,856
419,31,844,869,870,868,867,874,855,872,864,856
420,31,899,887,893,888,879,890,889,897,898,889
421,31,905,909,892,917,902,909,920,923,916,907
422,31,927,929,924,909,918,924,934,929,933,939
423,31,946,961,941,950,954,944,949,939,959,951
424,31,962,967,961,966,958,960,955,953,960,966
425,31,961,966,959,975,958,968,965,967,962,951
426,31,971,985,982,984,973,976,972,976,981,972
427,31,991,980,986,979,986,978,991,981,983,980
428,31,987,991,989,987,988,984,989,994,994,991
429,31,994,987,991,990,988,988,992,990,994,994
430,31,993,998,995,993,996,995,992,995,992,993
431,31,997,998,997,996,997,994,1000,997,993,998
432,31,1000,1000,998,998,997,995,997,998,997,999
433,31,1000,1000,1000,1000,999,997,999,1000,999,1000
434,31,997,999,999,998,999,999,1000,999,998,999
435,31,1000,1000,999,1000,999,999,1000,1000,999,1000
436,31,1000,1000,1000,1000,1000,999,999,1000,1000,1000
437,31,999,1000,999,997,1000,1000,1000,1000,1000,1000
438,31,1000,999,1000,1000,1000,1000,999,1000,1000,1000
439,31,999,1000,1000,1000,1000,1000,1000,1000,1000,1000
440,31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
441,31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
442,31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
443,31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
444,31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
445,31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
446,31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
447,31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
448,31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
449,31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
450,31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
