Vth_T ,6bit_Vth,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10
300,31,0,0,0,0,0,0,0,0,0,0
301,31,0,0,0,0,0,0,0,0,0,0
302,31,0,0,1,0,0,1,0,0,1,0
303,31,1,1,0,0,0,0,0,0,1,0
304,31,0,0,0,0,1,1,0,1,0,0
305,31,0,0,1,0,0,1,1,1,1,2
306,31,0,0,0,0,0,0,0,0,0,1
307,31,0,1,0,0,0,1,0,0,0,1
308,31,1,0,0,0,0,1,1,2,0,2
309,31,1,1,0,1,0,2,0,2,0,0
310,31,3,0,0,0,0,0,1,0,2,0
311,31,1,0,1,0,1,2,1,0,1,0
312,31,1,1,1,1,1,1,0,3,1,0
313,31,1,3,0,1,1,1,0,0,1,1
314,31,2,2,2,2,1,2,2,0,1,2
315,31,0,1,1,2,2,0,2,2,2,1
316,31,3,1,1,0,1,0,0,0,1,2
317,31,4,1,1,0,4,3,3,0,0,2
318,31,0,1,0,1,3,1,0,3,1,0
319,31,2,3,2,1,3,2,2,3,2,1
320,31,0,2,2,0,2,1,3,1,1,3
321,31,3,0,2,1,2,0,1,3,2,1
322,31,3,3,1,3,3,4,2,2,3,1
323,31,0,3,1,3,5,2,4,5,3,3
324,31,4,3,4,2,4,2,1,2,3,5
325,31,2,3,2,4,5,1,5,1,4,4
326,31,6,7,2,6,7,2,4,5,2,4
327,31,5,5,2,6,6,6,5,5,3,4
328,31,4,6,4,4,3,3,3,4,5,5
329,31,5,4,4,5,5,3,6,6,6,5
330,31,0,8,5,6,3,3,4,4,6,4
331,31,2,6,8,7,6,4,6,7,6,3
332,31,2,6,5,5,4,5,4,1,8,5
333,31,5,5,9,4,7,2,4,6,4,6
334,31,4,8,7,5,5,5,3,5,7,8
335,31,10,7,8,6,8,6,8,7,7,7
336,31,8,6,6,7,8,6,8,8,5,9
337,31,10,8,11,7,2,7,9,9,6,13
338,31,8,5,7,7,14,7,11,11,11,7
339,31,11,6,10,10,9,8,11,9,8,7
340,31,9,10,10,10,13,14,13,9,11,9
341,31,11,7,21,12,16,10,6,12,11,14
342,31,17,13,16,10,13,12,19,16,13,13
343,31,13,16,17,12,15,10,17,19,10,10
344,31,15,23,17,18,9,16,16,16,12,14
345,31,17,13,18,18,18,19,22,20,17,15
346,31,26,16,20,15,33,23,19,21,12,16
347,31,15,24,19,28,25,19,33,18,17,19
348,31,24,19,39,32,42,11,38,33,21,24
349,31,28,36,33,32,38,29,28,28,22,34
350,31,33,27,45,17,28,24,39,35,27,19
351,31,28,33,26,30,41,36,21,40,13,34
352,31,52,28,31,42,43,51,49,28,42,34
353,31,42,41,41,46,37,40,25,53,66,45
354,31,62,59,52,55,55,52,47,52,60,44
355,31,42,59,55,43,33,65,48,54,66,37
356,31,38,56,34,41,46,64,62,58,43,43
357,31,61,61,49,62,62,64,64,40,51,55
358,31,49,62,42,62,66,54,45,63,44,70
359,31,48,57,71,49,64,75,51,58,65,74
360,31,60,60,59,50,67,60,73,52,49,48
361,31,51,59,45,55,79,61,73,73,67,76
362,31,53,81,75,68,53,73,68,61,79,71
363,31,60,61,76,68,76,73,79,69,63,68
364,31,75,68,75,56,59,68,75,73,61,79
365,31,78,44,80,71,62,52,67,67,64,55
366,31,72,58,72,80,68,64,49,74,75,68
367,31,71,70,58,70,72,69,72,60,78,69
368,31,67,69,80,65,58,71,62,62,57,77
369,31,51,64,78,59,50,65,70,68,51,68
370,31,68,58,65,70,62,65,67,67,56,54
371,31,66,63,60,55,52,63,55,64,76,65
372,31,53,60,59,72,63,59,56,68,68,63
373,31,57,56,63,64,52,59,69,64,68,62
374,31,64,66,55,63,63,57,69,61,66,70
375,31,67,57,59,63,59,60,59,56,56,56
376,31,64,56,59,70,59,58,60,63,63,53
377,31,57,63,57,68,62,62,61,58,65,58
378,31,61,66,67,64,68,61,64,62,59,63
379,31,65,66,61,62,65,63,68,73,72,66
380,31,64,70,71,68,63,66,70,66,66,69
381,31,76,70,70,67,67,68,63,78,71,66
382,31,72,68,72,75,64,70,74,74,72,72
383,31,68,80,75,69,69,74,73,75,75,69
384,31,75,76,77,76,82,74,82,78,74,79
385,31,73,80,84,82,78,90,81,82,69,85
386,31,73,79,76,89,88,81,82,76,86,85
387,31,89,87,85,88,85,83,89,91,91,94
388,31,88,96,95,85,92,96,96,91,94,90
389,31,107,107,106,102,104,98,107,90,101,95
390,31,103,107,100,110,103,108,116,109,105,110
391,31,110,120,104,112,123,107,114,110,118,112
392,31,119,119,123,114,118,116,118,133,116,113
393,31,122,127,112,129,123,139,115,126,127,121
394,31,127,130,127,127,141,138,140,135,132,132
395,31,151,137,138,130,154,126,138,129,127,144
396,31,147,143,124,142,131,139,148,133,137,140
397,31,153,145,137,141,142,155,141,145,145,153
398,31,156,145,161,162,143,152,160,154,165,150
399,31,162,165,162,157,152,157,149,158,163,153
400,31,160,154,163,149,145,159,169,157,156,170
401,31,164,162,167,157,166,163,173,172,168,158
402,31,149,163,164,154,170,163,166,164,163,171
403,31,179,166,172,156,174,171,174,176,172,160
404,31,172,178,173,176,170,183,170,168,163,178
405,31,166,167,169,175,173,179,168,183,161,176
406,31,160,166,176,165,162,164,172,163,169,167
407,31,177,158,165,173,180,173,164,170,159,162
408,31,159,157,171,172,172,166,159,172,163,166
409,31,163,166,156,168,179,162,164,168,145,155
410,31,165,160,164,150,164,158,175,157,163,164
411,31,149,155,165,160,168,160,168,178,160,165
412,31,165,157,148,155,164,147,167,163,155,174
413,31,160,153,155,164,163,161,158,156,147,160
414,31,138,161,153,166,157,147,146,146,144,147
415,31,145,135,152,148,144,155,159,136,141,149
416,31,124,130,131,121,134,130,116,144,120,148
417,31,94,137,127,115,116,132,125,111,124,111
418,31,102,103,96,125,99,117,94,107,102,110
419,31,99,88,93,91,91,87,107,98,97,97
420,31,73,82,82,87,95,74,78,74,70,80
421,31,68,62,79,58,67,71,59,62,65,64
422,31,54,51,54,71,64,60,51,60,53,43
423,31,44,34,48,37,37,43,41,46,35,42
424,31,31,28,33,32,35,33,35,38,31,27
425,31,31,27,30,23,33,26,28,26,31,42
426,31,26,13,15,12,23,18,23,18,17,23
427,31,9,18,12,20,11,17,8,18,16,16
428,31,10,9,11,9,11,12,11,5,6,6
429,31,6,11,9,8,12,10,9,7,5,6
430,31,6,2,5,7,4,4,5,5,7,7
431,31,3,1,3,4,3,6,0,3,6,2
432,31,0,0,2,2,3,3,3,2,3,1
433,31,0,0,0,0,1,3,1,0,1,0
434,31,2,1,1,2,1,1,0,1,2,1
435,31,0,0,1,0,1,1,0,0,1,0
436,31,0,0,0,0,0,1,1,0,0,0
437,31,1,0,1,2,0,0,0,0,0,0
438,31,0,1,0,0,0,0,1,0,0,0
439,31,1,0,0,0,0,0,0,0,0,0
440,31,0,0,0,0,0,0,0,0,0,0
441,31,0,0,0,0,0,0,0,0,0,0
442,31,0,0,0,0,0,0,0,0,0,0
443,31,0,0,0,0,0,0,0,0,0,0
444,31,0,0,0,0,0,0,0,0,0,0
445,31,0,0,0,0,0,0,0,0,0,0
446,31,0,0,0,0,0,0,0,0,0,0
447,31,0,0,0,0,0,0,0,0,0,0
448,31,0,0,0,0,0,0,0,0,0,0
449,31,0,0,0,0,0,0,0,0,0,0
450,31,0,0,0,0,0,0,0,0,0,0
